ProjectReference,FundingOrgName,ProjectCategory,ParentOrgName,SectorParentOrg,CountryParentOrg,YearCollaborationStarted,AwardExpenditurePoundsMainProject
G0601490,MRC,Research Grant,AstraZeneca,Private,United Kingdom,2009,360980
G0601490,MRC,Research Grant,GE Healthcare Limited,Academic/University,United Kingdom,2006,360980
G0601490,MRC,Research Grant,Oxford Instruments,Private,United Kingdom,2009,360980
G0601490,MRC,Research Grant,PulseTeq Ltd,Private,United Kingdom,2017,360980
G0601490,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2009,360980
G0601584,MRC,Research Grant,Massachusetts Institute of Technology,Academic/University,United States,2009,436547
G0601584,MRC,Research Grant,Novartis,Private,Global,2011,436547
G0601584,MRC,Research Grant,Seaside Therapeutics,Academic/University,United States,2011,436547
G0601584,MRC,Research Grant,University of Bordeaux,Academic/University,France,2012,436547
G0601584,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2011,436547
G0601660,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2007,2142570
G0601660,MRC,Research Grant,University of Birmingham,Academic/University,United Kingdom,2007,2142570
G0601660,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2007,2142570
G0601813,MRC,Research Grant,GlaxoSmithKline (GSK),Private,Global,2008,1870323
G0601813,MRC,Research Grant,National Institutes of Health (NIH),Public,United States,2007,1870323
G0601813,MRC,Research Grant,Seoul National University,Academic/University,"Korea, Republic of",2010,1870323
G0601813,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2007,1870323
G0601813,MRC,Research Grant,University of British Columbia,Academic/University,Canada,2006,1870323
G0601813,MRC,Research Grant,Yale University,Academic/University,United States,2008,1870323
G0700090,MRC,Research Grant,University of Kent,Academic/University,United Kingdom,2013,337752
G0700090,MRC,Research Grant,University of Leicester,Academic/University,United Kingdom,2013,337752
G0700222,MRC,Research Grant,August Pi i Sunyer Biomedical Research Institute,Hospitals,Spain,2008,350389
G0700222,MRC,Research Grant,Broad Institute,Charity/Non Profit,United States,2008,350389
G0700222,MRC,Research Grant,ETH Zurich,Academic/University,Switzerland,2008,350389
G0700222,MRC,Research Grant,Free University of Brussels,Academic/University,Belgium,2008,350389
G0700222,MRC,Research Grant,IntegraGen,Private,France,2008,350389
G0700222,MRC,Research Grant,Jagiellonian University,Academic/University,Poland,2008,350389
G0700222,MRC,Research Grant,Lund University,Academic/University,Sweden,2008,350389
G0700222,MRC,Research Grant,National Institutes of Health (NIH),Public,United States,2008,350389
G0700222,MRC,Research Grant,Peninsula College of Medicine & Dentistry,Academic/University,United Kingdom,2008,350389
G0700222,MRC,Research Grant,Proteomika,Private,Spain,2008,350389
G0700222,MRC,Research Grant,Technical University of Dresden,Academic/University,Germany,2008,350389
G0700222,MRC,Research Grant,University of Helsinki,Academic/University,Finland,2008,350389
G0700222,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2008,350389
G0700915,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2014,388292
G0700915,MRC,Research Grant,Institute of Cancer Research,Public,United Kingdom,2014,388292
G0700915,MRC,Research Grant,National Institute of Health and Medical Research (INSERM),Public,France,2018,388292
G0700915,MRC,Research Grant,Ohio State University,Academic/University,United States,2018,388292
G0700915,MRC,Research Grant,University at Buffalo,Academic/University,United States,2017,388292
G0700915,MRC,Research Grant,University College London Hospital,Charity/Non Profit,United Kingdom,2014,388292
G0700915,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2014,388292
G0700915,MRC,Research Grant,University of Trento,Academic/University,Italy,2017,388292
G0700915,MRC,Research Grant,Vancouver Prostate Centre,Hospitals,Canada,2014,388292
G0700966,MRC,Research Grant,Hebei Medical University,Academic/University,China,2008,354208
G0700966,MRC,Research Grant,Peking University,Academic/University,China,2009,354208
G0700966,MRC,Research Grant,University of Leeds,Academic/University,United Kingdom,2008,354208
G0700966,MRC,Research Grant,University of Texas,Academic/University,United States,2014,354208
G0701115,MRC,Research Grant,University College London,Academic/University,United Kingdom,2007,299999
G0701115,MRC,Research Grant,University of Aberdeen,Academic/University,United Kingdom,2010,299999
G0701115,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2008,299999
G0701115,MRC,Research Grant,University of Warwick,Academic/University,United Kingdom,2007,299999
G0701165,MRC,Research Grant,Orla Protein Technnologies,Private,United Kingdom,2009,332274
G0701165,MRC,Research Grant,Pepceuticals,Private,United Kingdom,2018,332274
G0701165,MRC,Research Grant,The Leverhulme Trust,Charity/Non Profit,United Kingdom,2017,332274
G0701165,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2018,332274
G0701165,MRC,Research Grant,University of Nottingham,Academic/University,United Kingdom,2018,332274
G0701165,MRC,Research Grant,University of Strathclyde,Academic/University,United Kingdom,2008,332274
G0701165,MRC,Research Grant,Wellcome Trust,Charity/Non Profit,United Kingdom,2009,332274
G0701325,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2006,399999
G0701325,MRC,Research Grant,European Hopital Georges Pompidou,Hospitals,France,2006,399999
G0701325,MRC,Research Grant,Leibniz Association,Academic/University,Germany,2006,399999
G0701325,MRC,Research Grant,Mario Negri Institute for Pharmacological Research,Charity/Non Profit,Italy,2006,399999
G0701325,MRC,Research Grant,Medical Research Council (MRC),Public,United Kingdom,2006,399999
G0701325,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2006,399999
G0701325,MRC,Research Grant,Spanish National Research Council (CSIC),Public,Spain,2006,399999
G0701325,MRC,Research Grant,University College London,Academic/University,United Kingdom,2006,399999
G0701325,MRC,Research Grant,University Hospital La Paz,Hospitals,Spain,2006,399999
G0701325,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2006,399999
G0701486,MRC,Research Grant,AstraZeneca,Private,United Kingdom,2012,411379
G0701486,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2013,411379
G0701486,MRC,Research Grant,Northeast Ohio Medical University,Academic/University,United States,2012,411379
G0701486,MRC,Research Grant,University of Bath,Academic/University,United Kingdom,2012,411379
G0701486,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2013,411379
G0701486,MRC,Research Grant,University of Michigan,Academic/University,United States,2013,411379
G0701533,MRC,Research Grant,Cancer Research UK,Charity/Non Profit,United Kingdom,2013,615228
G0701533,MRC,Research Grant,Columbia University Medical Center,Hospitals,United States,2007,615228
G0701533,MRC,Research Grant,ETH Zurich,Academic/University,Switzerland,2010,615228
G0701533,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2013,615228
G0701533,MRC,Research Grant,Institute of Cancer Research,Public,United Kingdom,2013,615228
G0701533,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2013,615228
G0701533,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2013,615228
G0701533,MRC,Research Grant,Specialty Magnetics Ltd,Private,United States,2010,615228
G0701533,MRC,Research Grant,University College London,Academic/University,United Kingdom,2013,615228
G0701533,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2013,615228
G0701533,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2013,615228
G0701533,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2013,615228
G0701632,MRC,Research Grant,Apitope,Private,Belgium,2012,149934
G0701632,MRC,Research Grant,Bergen University College,Academic/University,Norway,2018,149934
G0701632,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2012,149934
G0701632,MRC,Research Grant,Peninsula College of Medicine & Dentistry,Academic/University,United Kingdom,2009,149934
G0701632,MRC,Research Grant,University of Birmingham,Academic/University,United Kingdom,2012,149934
G0701690,MRC,Research Grant,GlaxoSmithKline (GSK),Private,Global,2009,246627
G0701690,MRC,Research Grant,Queen's University of Belfast,Academic/University,United Kingdom,2009,246627
G0701690,MRC,Research Grant,"University of California, San Francisco",Academic/University,United States,2016,246627
G0701690,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2009,246627
G0701876,MRC,Research Grant,Action on Smoking and Health (ASH),Charity/Non Profit,United Kingdom,2012,124217
G0701876,MRC,Research Grant,Durham University,Academic/University,United Kingdom,2010,124217
G0701876,MRC,Research Grant,UK Clinical Research Collaboration,Academic/University,United Kingdom,2010,124217
G0800021,MRC,Research Grant,Cancer Research UK Cambridge Institute,Academic/University,United Kingdom,2007,391328
G0800021,MRC,Research Grant,Institute of Cancer Research,Public,United Kingdom,2010,391328
G0800021,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2010,391328
G0800021,MRC,Research Grant,University of Liverpool,Academic/University,United Kingdom,2011,391328
G0800021,MRC,Research Grant,University of Texas,Academic/University,United States,2008,391328
G0800021,MRC,Research Grant,University of Warwick,Academic/University,United Kingdom,2011,391328
G0800196,MRC,Research Grant,F. Hoffmann-La Roche AG,Private,Global,2010,565046
G0800196,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2014,565046
G0800196,MRC,Research Grant,Manchester University NHS Foundation Trust,Public,United Kingdom,2011,565046
G0800196,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2014,565046
G0800196,MRC,Research Grant,Pfizer Ltd,Private,United Kingdom,2009,565046
G0800248,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2009,400000
G0800248,MRC,Research Grant,Temple University,Academic/University,United States,2010,400000
G0800248,MRC,Research Grant,University of Reading,Academic/University,United Kingdom,2011,400000
G0800248,MRC,Research Grant,University of Sydney,Academic/University,Australia,2009,400000
G0800393,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2010,460216
G0800393,MRC,Research Grant,Mount Sinai Hospital (USA),Hospitals,United States,2009,460216
G0800393,MRC,Research Grant,Open University,Academic/University,United Kingdom,2010,460216
G0800393,MRC,Research Grant,University of Mons,Academic/University,Belgium,2010,460216
G0800509,MRC,Research Grant,Broad Institute,Charity/Non Profit,United States,2009,4028643
G0800509,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2009,4028643
G0800509,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2012,4028643
G0800509,MRC,Research Grant,Karolinska Institute,Academic/University,Sweden,2014,4028643
G0800509,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2013,4028643
G0800509,MRC,Research Grant,Maastricht University (UM),Academic/University,Netherlands,2010,4028643
G0800509,MRC,Research Grant,Mount Sinai Hospital (USA),Hospitals,United States,2009,4028643
G0800509,MRC,Research Grant,Osaka University,Academic/University,Japan,2009,4028643
G0800509,MRC,Research Grant,Stanford University,Academic/University,United States,2007,4028643
G0800509,MRC,Research Grant,The Wellcome Trust Sanger Institute,Charity/Non Profit,United Kingdom,2009,4028643
G0800509,MRC,Research Grant,Trinity College Dublin,Academic/University,Ireland,2009,4028643
G0800509,MRC,Research Grant,University of Bonn,Academic/University,Germany,2012,4028643
G0800509,MRC,Research Grant,University of Iowa,Academic/University,United States,2012,4028643
G0800509,MRC,Research Grant,University of Munich Hospital,Academic/University,Germany,2009,4028643
G0800509,MRC,Research Grant,University of North Carolina at Chapel Hill,Academic/University,United States,2014,4028643
G0800509,MRC,Research Grant,University of Wurzburg,Academic/University,Germany,2010,4028643
G0800570,MRC,Research Grant,Imperial College Healthcare NHS Trust,Hospitals,United Kingdom,2010,566067
G0800570,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2010,566067
G0800570,MRC,Research Grant,McGill University,Academic/University,Canada,2010,566067
G0800570,MRC,Research Grant,University of Barcelona,Academic/University,Spain,2018,566067
G0800570,MRC,Research Grant,University of Groningen,Academic/University,Netherlands,2018,566067
G0800570,MRC,Research Grant,University of Ottawa,Academic/University,Canada,2010,566067
G0800570,MRC,Research Grant,University of Southampton,Academic/University,United Kingdom,2009,566067
G0800603,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2009,234865
G0800603,MRC,Research Grant,University of Reading,Academic/University,United Kingdom,2009,234865
G0800674,MRC,Research Grant,Harvard University,Academic/University,United States,2008,716822
G0800674,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2017,716822
G0800674,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2017,716822
G0800674,MRC,Research Grant,"Reneo Pharmaceuticals, Inc",Private,United States,2017,716822
G0800674,MRC,Research Grant,University College London,Academic/University,United Kingdom,2008,716822
G0800674,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2008,716822
G0800674,MRC,Research Grant,University of Oregon,Academic/University,United States,2017,716822
G0800674,MRC,Research Grant,University of Texas,Academic/University,United States,2007,716822
G0800692,MRC,Research Grant,University of Medicine Berlin,Academic/University,Germany,2009,104019
G0800692,MRC,Research Grant,MagForce Nanotechnologies AG,Private,Germany,2009,104019
G0800692,MRC,Research Grant,Max Planck Society,Academic/University,Germany,2009,104019
G0800692,MRC,Research Grant,National Centre for Scientific Research (NCSR) Demokritos,Academic/University,Greece,2009,104019
G0800692,MRC,Research Grant,National Research Council,Public,Italy,2009,104019
G0800692,MRC,Research Grant,Oxford Applied Research,Private,United Kingdom,2007,104019
G0800692,MRC,Research Grant,RWTH Aachen University,Academic/University,Germany,2009,104019
G0800692,MRC,Research Grant,University College Dublin,Academic/University,Ireland,2009,104019
G0800692,MRC,Research Grant,University of Leicester,Academic/University,United Kingdom,2009,104019
G0800692,MRC,Research Grant,University of Rostock,Academic/University,Germany,2009,104019
G0800692,MRC,Research Grant,Waterford Institute of Technology,Academic/University,Ireland,2009,104019
G0801025,MRC,Research Grant,Agilent Technologies,Private,United States,2012,371171
G0801025,MRC,Research Grant,Mundipharma Research Ltd,Private,Germany,2014,371171
G0801025,MRC,Research Grant,SOBI Swedish Orphan Biovitrum AB,Private,Sweden,2008,371171
G0801025,MRC,Research Grant,University of Birmingham,Academic/University,United Kingdom,2010,371171
G0801025,MRC,Research Grant,University of Michigan,Academic/University,United States,2010,371171
G0801025,MRC,Research Grant,University of Washington,Academic/University,United States,2010,371171
G0801025,MRC,Research Grant,University of Zurich,Academic/University,Switzerland,2010,371171
G0801056,MRC,Research Grant,Aberystwyth University,Academic/University,United Kingdom,2012,3160712
G0801056,MRC,Research Grant,Aston University,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,Autonomous University of Barcelona (UAB),Academic/University,Spain,2010,3160712
G0801056,MRC,Research Grant,Boston University,Academic/University,United States,2009,3160712
G0801056,MRC,Research Grant,Broad Institute,Charity/Non Profit,United States,2009,3160712
G0801056,MRC,Research Grant,Cambridge Environmental Research Consultants,Private,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,Center for Research in Environmental Epidemiology,Academic/University,Spain,2009,3160712
G0801056,MRC,Research Grant,Centers for Disease Control and Prevention (CDC),Public,United States,2009,3160712
G0801056,MRC,Research Grant,Danish Cancer Society,Charity/Non Profit,Denmark,2009,3160712
G0801056,MRC,Research Grant,"Department For Environment, Food And Rural Affairs (DEFRA)",Public,United Kingdom,2012,3160712
G0801056,MRC,Research Grant,Department of Health (DH),Public,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,Environment Agency,Public,United Kingdom,2012,3160712
G0801056,MRC,Research Grant,Erasmus University Rotterdam,Academic/University,Netherlands,2009,3160712
G0801056,MRC,Research Grant,European Centre for Medium Range Weather Forecasting ECMWF,Public,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,GlaxoSmithKline (GSK),Private,Global,2009,3160712
G0801056,MRC,Research Grant,Glenfield Hospital,Hospitals,United Kingdom,2012,3160712
G0801056,MRC,Research Grant,Harvard University,Academic/University,United States,2009,3160712
G0801056,MRC,Research Grant,Helmholtz Association of German Research Centres,Academic/University,Germany,2012,3160712
G0801056,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2010,3160712
G0801056,MRC,Research Grant,Johns Hopkins University,Academic/University,United States,2009,3160712
G0801056,MRC,Research Grant,Karolinska Institute,Academic/University,Sweden,2009,3160712
G0801056,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,Lancaster University,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,Lausanne University Hospital  (CHUV),Hospitals,Switzerland,2009,3160712
G0801056,MRC,Research Grant,London School of Hygiene and Tropical Medicine (LSHTM),Academic/University,United Kingdom,2010,3160712
G0801056,MRC,Research Grant,Medical Research Council (MRC),Public,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,Metabometrix Ltd,Private,United Kingdom,2012,3160712
G0801056,MRC,Research Grant,Meteorological Office UK,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,National Grid Transco,Private,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,"National Heart, Lung, and Blood Institute (NHLBI)",Public,United States,2009,3160712
G0801056,MRC,Research Grant,National Institute for Health and Welfare,Academic/University,Finland,2009,3160712
G0801056,MRC,Research Grant,National Institute for Health Research,Public,United Kingdom,2014,3160712
G0801056,MRC,Research Grant,National Institute for Public Health and Environment (RIVM),Academic/University,Netherlands,2009,3160712
G0801056,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2010,3160712
G0801056,MRC,Research Grant,Northwestern University,Academic/University,United States,2012,3160712
G0801056,MRC,Research Grant,Norwegian University of Science and Technology (NTNU),Academic/University,Norway,2011,3160712
G0801056,MRC,Research Grant,Oregon Health and Science University,Academic/University,United States,2009,3160712
G0801056,MRC,Research Grant,"Pasteur Institute, Paris",Charity/Non Profit,France,2009,3160712
G0801056,MRC,Research Grant,Public Health England,Public,United Kingdom,2012,3160712
G0801056,MRC,Research Grant,"Queen Mary, University of London",Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,Spanish Ministry of Science and Innovation,Academic/University,Spain,2010,3160712
G0801056,MRC,Research Grant,Stanford University,Academic/University,United States,2012,3160712
G0801056,MRC,Research Grant,Swansea University,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,Tampere University of Technology,Academic/University,Finland,2009,3160712
G0801056,MRC,Research Grant,The Wellcome Trust Sanger Institute,Charity/Non Profit,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,UK Biobank,Charity/Non Profit,United Kingdom,2013,3160712
G0801056,MRC,Research Grant,Umea University,Academic/University,Sweden,2009,3160712
G0801056,MRC,Research Grant,University College Cork,Academic/University,Ireland,2009,3160712
G0801056,MRC,Research Grant,University College London,Academic/University,United Kingdom,2010,3160712
G0801056,MRC,Research Grant,University College London Hospitals NHS Foundation Trust,Academic/University,United Kingdom,2012,3160712
G0801056,MRC,Research Grant,University of Auckland,Academic/University,New Zealand,2009,3160712
G0801056,MRC,Research Grant,University of Bath,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,University of Birmingham,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,"University of California, Berkeley",Academic/University,United States,2012,3160712
G0801056,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2011,3160712
G0801056,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2010,3160712
G0801056,MRC,Research Grant,University of Groningen,Academic/University,Netherlands,2011,3160712
G0801056,MRC,Research Grant,University of Hong Kong,Academic/University,Hong Kong,2009,3160712
G0801056,MRC,Research Grant,University of Ioannina,Academic/University,Greece,2009,3160712
G0801056,MRC,Research Grant,University of Leeds,Academic/University,United Kingdom,2010,3160712
G0801056,MRC,Research Grant,University of Leicester,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,University of Nottingham,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,University of Oulu,Academic/University,Finland,2009,3160712
G0801056,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2012,3160712
G0801056,MRC,Research Grant,University of Reading,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,University of Sheffield,Academic/University,United Kingdom,2010,3160712
G0801056,MRC,Research Grant,University of Southern California,Academic/University,United States,2009,3160712
G0801056,MRC,Research Grant,University of Washington,Academic/University,United States,2009,3160712
G0801056,MRC,Research Grant,University of York,Academic/University,United Kingdom,2009,3160712
G0801056,MRC,Research Grant,Utrecht University,Academic/University,Netherlands,2009,3160712
G0801228,MRC,Research Grant,"Becton, Dickinson and Company",Private,United States,2011,2303175
G0801228,MRC,Research Grant,Fred Hutchinson Cancer Research Center (FHCRC),Charity/Non Profit,United States,2010,2303175
G0801228,MRC,Research Grant,University College London,Academic/University,United Kingdom,2010,2303175
G0801228,MRC,Research Grant,University of Copenhagen,Academic/University,Denmark,2009,2303175
G0801228,MRC,Research Grant,University of Liverpool,Academic/University,United Kingdom,2008,2303175
G0801228,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2012,2303175
G0801228,MRC,Research Grant,University of Pittsburgh,Academic/University,United States,2007,2303175
G0801228,MRC,Research Grant,University of Texas,Academic/University,United States,2010,2303175
G0801314,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2011,1523809
G0801314,MRC,Research Grant,Leiden University Medical Center,Academic/University,Netherlands,2011,1523809
G0801314,MRC,Research Grant,Massachusetts Institute of Technology,Academic/University,United States,2011,1523809
G0801314,MRC,Research Grant,Mayo Foundation for Medical Education and Research (MFMER),Charity/Non Profit,United States,2011,1523809
G0801314,MRC,Research Grant,Merck,Private,Germany,2010,1523809
G0801314,MRC,Research Grant,Novartis Institutes for BioMedical Research (NIBR),Private,United States,2009,1523809
G0801314,MRC,Research Grant,Swiss Federal Institute of Technology in Lausanne (EPFL),Public,Switzerland,2010,1523809
G0801314,MRC,Research Grant,University College London,Academic/University,United Kingdom,2009,1523809
G0801314,MRC,Research Grant,University of Alabama at Birmingham,Academic/University,United States,2010,1523809
G0801314,MRC,Research Grant,University of Auckland,Academic/University,New Zealand,2011,1523809
G0801314,MRC,Research Grant,Washington University in St Louis,Academic/University,United States,2014,1523809
G0801508,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2011,576025
G0801508,MRC,Research Grant,"Pasteur Institute, Paris",Charity/Non Profit,France,2011,576025
G0801962,MRC,Research Grant,Indiana University,Academic/University,United States,2013,499937
G0801962,MRC,Research Grant,Mayo Clinic,Charity/Non Profit,United States,2013,499937
G0801962,MRC,Research Grant,Queen's University of Belfast,Academic/University,United Kingdom,2009,499937
G0801962,MRC,Research Grant,Remedi,Charity/Non Profit,United Kingdom,2013,499937
G0801962,MRC,Research Grant,Singapore Eye Research Institute,Academic/University,Singapore,2012,499937
G0801962,MRC,Research Grant,"University of California, San Diego (UCSD)",Academic/University,United States,2009,499937
G0801962,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2011,499937
G0801965,MRC,Research Grant,Imperial College Healthcare NHS Trust,Hospitals,United Kingdom,2010,1600929
G0801965,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2011,1600929
G0801965,MRC,Research Grant,Novartis,Private,Global,2011,1600929
G0801965,MRC,Research Grant,University of Michigan,Academic/University,United States,2011,1600929
G0801965,MRC,Research Grant,Xi'an Jiaotong University,Academic/University,China,2013,1600929
G0801965,MRC,Research Grant,Zhejiang University,Academic/University,China,2013,1600929
G0801977,MRC,Research Grant,Evotec,Private,Germany,2016,1367543
G0801977,MRC,Research Grant,McMaster University,Academic/University,Canada,2013,1367543
G0801977,MRC,Research Grant,University College London,Academic/University,United Kingdom,2010,1367543
G0801977,MRC,Research Grant,University of Basel,Academic/University,Switzerland,2009,1367543
G0801977,MRC,Research Grant,University of Birmingham,Academic/University,United Kingdom,2010,1367543
G0801977,MRC,Research Grant,University of Nottingham,Academic/University,United Kingdom,2015,1367543
G0802027,MRC,Research Grant,Medical Research Council (MRC),Public,United Kingdom,2010,903991
G0802027,MRC,Research Grant,University College London,Academic/University,United Kingdom,2010,903991
G0802027,MRC,Research Grant,Weight Concern,Charity/Non Profit,United Kingdom,2010,903991
G0802158,MRC,Research Grant,Open Source Instruments,Private,United States,2009,826574
G0802158,MRC,Research Grant,University College London,Academic/University,United Kingdom,2009,826574
G0802216,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2006,977646
G0802216,MRC,Research Grant,National Institute of Health and Medical Research (INSERM),Public,France,2006,977646
G0802216,MRC,Research Grant,University College London,Academic/University,United Kingdom,2006,977646
G0802216,MRC,Research Grant,University of Aberdeen,Academic/University,United Kingdom,2009,977646
G0802216,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2006,977646
G0802468,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2010,407001
G0802468,MRC,Research Grant,Manchester University NHS Foundation Trust,Public,United Kingdom,2009,407001
G0802468,MRC,Research Grant,"National Cancer Registration Service (NCRS), Eastern Office",Public,United Kingdom,2011,407001
G0802468,MRC,Research Grant,Ninewells Hospital,Hospitals,United Kingdom,2009,407001
G0802468,MRC,Research Grant,North West Cancer Intelligence Service,Hospitals,United Kingdom,2011,407001
G0802468,MRC,Research Grant,QIMR Berghofer Medical Research Institute,Academic/University,Australia,2010,407001
G0802468,MRC,Research Grant,"Queen Mary, University of London",Academic/University,United Kingdom,2009,407001
G0802468,MRC,Research Grant,Royal Preston Hospital,Hospitals,United Kingdom,2011,407001
G0802468,MRC,Research Grant,The Christie NHS Foundation Trust,Public,United Kingdom,2016,407001
G0802468,MRC,Research Grant,UK Cancer Information Service,Charity/Non Profit,United Kingdom,2011,407001
G0802468,MRC,Research Grant,University of Birmingham,Academic/University,United Kingdom,2009,407001
G0802468,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2011,407001
G0802468,MRC,Research Grant,Versus Arthritis,Charity/Non Profit,United Kingdom,2009,407001
G0900027,MRC,Research Grant,Age UK,Charity/Non Profit,United Kingdom,2010,49962
G0900027,MRC,Research Grant,Brunel University London,Academic/University,United Kingdom,2010,49962
G0900027,MRC,Research Grant,Queen's University of Belfast,Academic/University,United Kingdom,2012,49962
G0900027,MRC,Research Grant,Queen's University of Belfast,Academic/University,United Kingdom,2012,49962
G0900027,MRC,Research Grant,Ulster University,Academic/University,United Kingdom,2010,49962
G0900027,MRC,Research Grant,University of Stirling,Academic/University,United Kingdom,2012,49962
G0900027,MRC,Research Grant,University of Warwick,Academic/University,United Kingdom,2012,49962
G0900034,MRC,Research Grant,Bournemouth University,Academic/University,United Kingdom,2019,337313
G0900034,MRC,Research Grant,Braunschweig University of Technology,Academic/University,Germany,2019,337313
G0900034,MRC,Research Grant,European Synchrotron Radiation Facility,Academic/University,France,2009,337313
G0900034,MRC,Research Grant,Indian Institute of Technology Delhi,Academic/University,India,2019,337313
G0900034,MRC,Research Grant,Johnson Matthey,Private,United Kingdom,2010,337313
G0900034,MRC,Research Grant,Joseph Fourier University,Academic/University,France,2010,337313
G0900034,MRC,Research Grant,Kedge Business School,Academic/University,France,2019,337313
G0900034,MRC,Research Grant,MARA University of Technology,Academic/University,Malaysia,2019,337313
G0900034,MRC,Research Grant,National Institute for Nuclear Physics,Academic/University,Italy,2014,337313
G0900034,MRC,Research Grant,National Institute of Health and Medical Research (INSERM),Public,France,2012,337313
G0900034,MRC,Research Grant,Queen Elizabeth Hospital Birmingham,Hospitals,United Kingdom,2018,337313
G0900034,MRC,Research Grant,Symbiosis International University,Academic/University,India,2019,337313
G0900034,MRC,Research Grant,TAE Life Sciences,Private,United States,2018,337313
G0900034,MRC,Research Grant,University Hospitals Birmingham NHS Foundation Trust,Public,United Kingdom,2010,337313
G0900034,MRC,Research Grant,University of Basel,Academic/University,Switzerland,2019,337313
G0900034,MRC,Research Grant,University of Birmingham,Academic/University,United Kingdom,2009,337313
G0900034,MRC,Research Grant,University of Exeter,Academic/University,United Kingdom,2019,337313
G0900034,MRC,Research Grant,University of Innsbruck,Academic/University,Austria,2019,337313
G0900034,MRC,Research Grant,University of Lagos,Academic/University,Nigeria,2019,337313
